StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
MAHARASHTRA,PARBHANI,PURNA,,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ASKED ABOUT FERTILIZER SPRAY FOR TOMATO?,Tomato puree 150 grams + mayonnaise 30 ml + Bavistin 30 grams / 12 liters of water should be mixed well.,2022-06-07T10:50:27.53,2022,6
MAHARASHTRA,JALNA,BHOKARDAN,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humid weather, cloudy skies, and the possibility of heavy rain with thunder has been predicted in some areas today. Minimum temperature 26°C, maximum 41°C.",2022-06-06T12:38:33.117,2022,6
MAHARASHTRA,JALGAON,BHADGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Heavy rain is expected in the next 5 days in the state, and there is a possibility of lightning. Minimum temperature - 42 degrees Celsius and maximum - 27 degrees Celsius, wind speed - up to 17 kilometers per hour. Due to heavy rainfall, take precautions, stay in safe places, avoid going near electric poles, and follow the instructions given by the administration.",2022-06-06T12:39:07.887,2022,6
MAHARASHTRA,AMRAVATI,DHAMANGAON RIL,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Vibhagachya Mahitinu Saar Apalya Talukyatil Havaman Andaj: Yetya 5 divasat vatavarn thagal raahil va pavsachi shakyat raahil. Tapman - kimaana 24 ansh Celsius aani kamal 39 ansh Celsius. Varyacha veg 12 kimi/taasi. Havaman Andajanusar perani, khat vyavasthapan, pik sanrakshan, pik kadhi sinchan aadi babinche niyojan karave. Dhanyavaad!",2022-06-06T12:40:17.913,2022,6
MAHARASHTRA,CHANDRAPUR,WARORA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka Havaman Andaj - Here is the probable weather forecast for today: partly cloudy sky is likely in most parts, temperature - minimum - 34°C to maximum - 44°C, wind speed - 11 kilometers/hour, to know the weather forecast for your area, give the name of the village, city, district, or state, and get the weather information of your area immediately.",2022-06-06T12:42:37.83,2022,6
MAHARASHTRA,YEVATMAL,PUSAD,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Current weather forecast -- According to this latest update, the sky will remain partly cloudy, there is no possibility of rain, temperature - minimum - 24°C and maximum - 40°C, humidity - 25%, wind speed - 11 kilometers/hour, do not stay in open areas during the current weather, wear a cap, keep a wet cloth on your head, use sunglasses, and drink enough water to avoid dehydration.",2022-06-06T12:42:57.14,2022,6
MAHARASHTRA,BEED,MAJALGAON,,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,sugarcane fertilizer dose ?,Us Khat Dose -- DAP two bags + Urea one bag + Potash one bag per acre should be given.,2022-06-06T12:45:53.387,2022,6
MAHARASHTRA,WASHIM,MALEGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Malaga weather forecast - According to this latest update, there will be partly cloudy skies, light winds, temperature - minimum 23°C, maximum 33°C, humidity will be around 18 kilometers/hour, weather forecast information is given for your reference, but before going out, check the latest updates on the website, newspaper, or other reliable sources.",2022-06-06T12:51:04.727,2022,6
MAHARASHTRA,WARDHA,KARANJA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Karjat Taluka Weather Information -- According to this latest update, the sky will be partly cloudy, no chance of rain, temperature - minimum - 24°C, maximum - 40°C, humidity - 25%, wind speed - 11 kilometers/hour, for weather information contact the following: Pani Dene, Perani, Khat Matra, Peak Protection, and other agricultural advice, contact the local agriculture office.",2022-06-06T12:52:11.26,2022,6
MAHARASHTRA,YEVATMAL,WANI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Vani Bazar Taluka Havaman Andaj Yetya Athavadyamadhye Vatavaran Thanda Aahe Ani Halka Te Madhyam Pavsachi Shakyata Aahe, Aajche Tapman Jastit Jast - 23 Angshe Celsius, Kamiit Kami - 13 Angshe Celsius, Varyacha Veg - 12 Kilometer Prati Tas Aahe.",2022-06-06T12:57:21.74,2022,6
MAHARASHTRA,YEVATMAL,WANI,,AGRICULTURE,Others,Others,Market Information,Farmer asked query on Mandi details,,2022-06-06T12:57:26.89,2022,6
